,bid,message,originalTS,queue,requestee,requester,status,timeSinceStart
0,1.50,None,1559861486521,"[1, 2, 3, 4, 6, 5, 7, 8]",5,6,accepted,6.0249998569488525
1,0.30,None,1559861488247,"[1, 3, 2, 4, 6, 5, 7, 8]",2,3,accepted,7.694000005722046
2,,None,1559861490570,"[1, 3, 4, 2, 6, 5, 7, 8]",7,8,declined,10.019999980926514
3,0.50,None,1559861492222,"[1, 3, 4, 2, 6, 5, 7, 8]",2,4,accepted,11.680999994277954
4,0.40,None,1559861502836,"[1, 4, 3, 2, 6, 5, 7, 8]",3,4,accepted,22.282999992370605
5,,None,1559861513501,"[1, 4, 3, 2, 6, 5, 7, 8]",3,2,declined,32.94799995422363
6,0.25,None,1559861515110,"[1, 4, 3, 2, 6, 7, 5, 8]",5,7,accepted,34.61399984359741
7,,,1559861522092,"[1, 4, 3, 2, 6, 7, 5, 8]",3,2,cancelled,41.539000034332275
8,,None,1559861527809,"[1, 4, 3, 2, 6, 7, 5, 8]",5,8,declined,47.312999963760376
9,,None,1559861529343,"[1, 4, 3, 2, 6, 7, 5, 8]",6,7,declined,48.79299998283386
10,,,1559861564522,"[1, 4, 3, 2, 6, 7, 5, 8]",7,5,cancelled,84.02600002288818
11,,None,1559861622264,"[1, 2, 3, 4, 5, 6, 7, 8]",4,5,declined,2.0369999408721924
12,,None,1559861622901,"[1, 2, 3, 4, 5, 6, 7, 8]",1,2,declined,2.6489999294281006
13,,None,1559861623142,"[1, 2, 3, 4, 5, 6, 7, 8]",6,7,declined,2.9200000762939453
14,,None,1559861627947,"[1, 2, 3, 4, 5, 6, 7, 8]",2,3,declined,7.694999933242798
15,,None,1559861628550,"[1, 2, 3, 4, 5, 6, 7, 8]",4,5,declined,8.322999954223633
16,,None,1559861630789,"[1, 2, 3, 4, 5, 6, 7, 8]",7,8,declined,10.532000064849854
17,,None,1559861631596,"[1, 2, 3, 4, 5, 6, 7, 8]",5,6,declined,11.374000072479248
18,,None,1559861632788,"[1, 2, 3, 4, 5, 6, 7, 8]",3,4,declined,12.561000108718872
19,,None,1559861637194,"[1, 2, 3, 4, 5, 6, 7, 8]",6,7,declined,16.972000122070312
20,,None,1559861639300,"[1, 2, 3, 4, 5, 6, 7, 8]",3,4,declined,19.072999954223633
21,,None,1559861640108,"[1, 2, 3, 4, 5, 6, 7, 8]",7,8,declined,19.8510000705719
22,,None,1559861640178,"[1, 2, 3, 4, 5, 6, 7, 8]",5,6,declined,19.956000089645386
23,,None,1559861643181,"[1, 2, 3, 4, 5, 6, 7, 8]",3,4,declined,22.953999996185303
24,,None,1559861645413,"[1, 2, 3, 4, 5, 6, 7, 8]",3,4,declined,25.186000108718872
25,,None,1559861647910,"[1, 2, 3, 4, 5, 6, 7, 8]",3,4,declined,27.683000087738037
26,,None,1559861650820,"[1, 2, 3, 4, 5, 6, 7, 8]",6,7,declined,30.598000049591064
27,,None,1559861651829,"[1, 2, 3, 4, 5, 6, 7, 8]",3,4,declined,31.60199999809265
28,,None,1559861653991,"[1, 2, 3, 4, 5, 6, 7, 8]",4,5,declined,33.763999938964844
